time_s,ref_x,ref_y,ref_theta,real_x,real_y,real_theta,cte_m,dist_to_ref
0.1,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,-0.0033,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,-0.0033,0.0046,0.0,0.0,0.0,0.0046
0.4,0.0,0.0,-0.0033,0.0069,0.0,-0.0,0.0,0.0069
0.5,0.0,0.0,-0.0033,0.0111,0.0,0.001,0.0,0.0111
0.601,0.0,0.0,-0.0033,0.0202,0.0,0.001,0.0001,0.0202
0.7,0.0522,-0.0002,-0.0033,0.0305,0.0,0.001,0.0001,0.0217
0.8,0.0522,-0.0002,-0.0033,0.0423,0.0,0.001,0.0002,0.0099
0.9,0.0522,-0.0002,-0.0033,0.0571,0.0,0.001,0.0002,0.0048
1.0,0.0522,-0.0002,-0.0033,0.0661,0.0001,0.001,0.0003,0.0138
1.1,0.0522,-0.0002,-0.0033,0.0824,0.0001,0.001,0.0003,0.0302
1.2,0.1145,-0.0003,-0.0021,0.0992,0.0001,0.001,0.0004,0.0153
1.3,0.1145,-0.0003,-0.0021,0.1265,0.0001,0.001,0.0005,0.012
1.4,0.1683,-0.0004,-0.0,0.1473,0.0002,0.0023,0.0005,0.021
1.5,0.1683,-0.0004,-0.0,0.1614,0.0002,0.0023,0.0006,0.007
1.601,0.1683,-0.0004,-0.0,0.1851,0.0003,0.0033,0.0007,0.0168
1.7,0.2289,-0.0003,0.0033,0.2099,0.0004,0.0044,0.0007,0.019
1.8,0.2289,-0.0003,0.0033,0.237,0.0005,0.0054,0.0008,0.0081
1.901,0.2847,-0.0,0.0044,0.2768,0.0008,0.0077,0.0009,0.008
2.0,0.2847,-0.0,0.0044,0.2951,0.001,0.0087,0.0009,0.0104
2.1,0.3372,0.0003,0.0066,0.3231,0.0012,0.0098,0.001,0.0141
2.201,0.3947,0.0007,0.0077,0.367,0.0017,0.011,0.0012,0.0277
2.3,0.3947,0.0007,0.0077,0.3989,0.0021,0.0131,0.0013,0.0044
2.4,0.3947,0.0007,0.0077,0.4184,0.0023,0.0131,0.0015,0.0237
2.5,0.4543,0.0012,0.0087,0.4519,0.0028,0.0141,0.0016,0.0029
2.6,0.5106,0.0016,0.0077,0.5009,0.0035,0.0152,0.002,0.0099
2.7,0.5106,0.0016,0.0077,0.5365,0.0041,0.0164,0.0023,0.026
2.8,0.5648,0.002,0.0066,0.573,0.0047,0.0164,0.0026,0.0086
2.9,0.6171,0.0024,0.0077,0.5952,0.0051,0.0185,0.0029,0.0221
3.0,0.6692,0.0028,0.0087,0.648,0.0061,0.0208,0.0035,0.0214
3.1,0.6692,0.0028,0.0087,0.6711,0.0066,0.0218,0.0038,0.0043
3.2,0.72,0.0033,0.0087,0.718,0.0077,0.0229,0.0044,0.0049
3.301,0.7703,0.0037,0.0087,0.7654,0.0088,0.0251,0.0052,0.0071
3.401,0.7703,0.0037,0.0087,0.7887,0.0095,0.0272,0.0056,0.0193
3.5,0.8232,0.0042,0.0099,0.8284,0.0107,0.0316,0.0064,0.0083
3.6,0.8732,0.0047,0.011,0.8843,0.0126,0.036,0.0077,0.0136
3.7,0.9262,0.0053,0.012,0.9096,0.0135,0.0382,0.0084,0.0185
3.8,0.9771,0.0059,0.0131,0.9625,0.0157,0.0414,0.01,0.0176
3.9,0.9771,0.0059,0.0131,0.9911,0.017,0.0459,0.0108,0.0178
4.0,1.028,0.0066,0.0131,1.0324,0.019,0.0501,0.0123,0.0131
4.1,1.0823,0.0073,0.0154,1.0774,0.0213,0.0524,0.014,0.0148
4.2,1.1379,0.0082,0.0154,1.1183,0.0237,0.0588,0.0158,0.0249
4.3,1.1919,0.009,0.0154,1.1734,0.0272,0.0675,0.0185,0.0259
4.4,1.1919,0.009,0.0154,1.2016,0.0292,0.0709,0.02,0.0224
4.5,1.2497,0.01,0.0164,1.2459,0.0325,0.0775,0.0226,0.0229
4.6,1.3036,0.0109,0.0175,1.2858,0.0358,0.0829,0.0252,0.0306
4.7,1.3554,0.0118,0.0187,1.3464,0.0411,0.0916,0.0295,0.0307
4.801,1.4059,0.0127,0.0197,1.3904,0.0454,0.1004,0.033,0.0362
4.9,1.4628,0.0139,0.0208,1.4341,0.0501,0.1101,0.0368,0.0462
5.0,1.4628,0.0139,0.0208,1.4778,0.0552,0.1211,0.041,0.0439
5.1,1.5133,0.015,0.0229,1.5205,0.0607,0.1342,0.0456,0.0463
5.2,1.5701,0.0164,0.0251,1.5613,0.0666,0.1461,0.0504,0.051
5.3,1.5701,0.0164,0.0251,1.5844,0.0701,0.1538,0.0533,0.0556
5.4,1.6202,0.0177,0.0262,1.6321,0.0781,0.1756,0.0601,0.0616
5.5,1.6711,0.019,0.0284,1.6628,0.0838,0.1897,0.065,0.0653
5.6,1.6711,0.019,0.0284,1.6925,0.0898,0.204,0.0701,0.0739
5.7,1.7277,0.0208,0.0316,1.7209,0.096,0.2204,0.0754,0.0755
5.801,1.7277,0.0208,0.0316,1.7469,0.102,0.2356,0.0806,0.0835
5.9,1.7868,0.0226,0.0316,1.772,0.1083,0.2508,0.0861,0.0869
6.0,1.7868,0.0226,0.0316,1.7859,0.112,0.2608,0.0893,0.0893
6.1,1.7868,0.0226,0.0316,1.8086,0.1182,0.2759,0.0949,0.0981
6.2,1.8441,0.0245,0.0328,1.8369,0.1266,0.2978,0.1022,0.1023
6.3,1.8441,0.0245,0.0328,1.8477,0.13,0.3065,0.1053,0.1055
6.4,1.9015,0.0264,0.0349,1.8712,0.1377,0.3272,0.1123,0.1153
6.501,1.9015,0.0264,0.0349,1.8867,0.1431,0.3414,0.1171,0.1176
6.6,1.9015,0.0264,0.0349,1.8951,0.1461,0.3491,0.1199,0.1199
6.7,1.9015,0.0264,0.0349,1.9132,0.153,0.3688,0.1261,0.1271
6.8,1.9015,0.0264,0.0349,1.9218,0.1564,0.3763,0.1291,0.1315
6.9,1.9554,0.0283,0.0361,1.9357,0.162,0.3917,0.1343,0.1351
7.0,1.9554,0.0283,0.0361,1.942,0.1646,0.3981,0.1367,0.1369
7.1,1.9554,0.0283,0.0361,1.9539,0.1697,0.4079,0.1414,0.1414
7.2,1.9554,0.0283,0.0361,1.9544,0.1699,0.4112,0.1415,0.1416
7.3,1.9554,0.0283,0.0361,1.9641,0.1742,0.4166,0.1454,0.1461
7.4,1.9554,0.0283,0.0361,1.9725,0.178,0.4309,0.1489,0.1506
7.5,2.0079,0.0302,0.0361,1.9763,0.1797,0.4363,0.1505,0.1528
7.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
7.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
7.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
7.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
8.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.101,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.801,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
9.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.101,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.501,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
10.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
11.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.401,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.801,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
12.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.501,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
13.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.101,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.801,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
14.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.101,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
15.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
16.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
17.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
18.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.801,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
19.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.001,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.201,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
20.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
21.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
22.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.101,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
23.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.801,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
24.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.001,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.801,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
25.901,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.301,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
26.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
27.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.501,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.601,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.701,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
28.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.0,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.2,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.3,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.4,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.5,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.6,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.7,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.8,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
29.9,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
30.001,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
30.1,2.0079,0.0302,0.0361,1.9785,0.1808,0.4396,0.1515,0.1534
